"","X","x","tweet"
"1",1,"neutral","@VirginAmerica What @dhepburn said."
"2",2,"positive","@VirginAmerica plus you've added commercials to the experience... tacky."
"3",3,"neutral","@VirginAmerica I didn't today... Must mean I need to take another trip!"
"4",4,"negative","@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
"5",5,"negative","@VirginAmerica and it's a really big bad thing about it"
"6",6,"negative","@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
"7",7,"positive","@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)"
"8",8,"neutral","@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
"9",9,"positive","@virginamerica Well, I didn't…but NOW I DO! :-D"
"10",10,"positive","@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
"11",11,"neutral","@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24"
"12",12,"positive","@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D"
"13",13,"positive","@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p"
"14",14,"positive","@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn"
"15",15,"positive","@VirginAmerica Thanks!"
"16",16,"negative","@VirginAmerica SFO-PDX schedule is still MIA."
"17",17,"positive","@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo"
"18",18,"negative","@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!"
"19",19,"positive","I ❤️ flying @VirginAmerica. ☺️👍"
"20",20,"positive","@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you."
"21",21,"negative","@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???"
"22",22,"positive","@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA"
"23",23,"positive","@VirginAmerica I love the hipster innovation. You are a feel good brand."
"24",24,"neutral","@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?"
"25",25,"negative","@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet"
"26",26,"negative","@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response."
"27",27,"negative","@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail"
"28",28,"neutral","@VirginAmerica do you miss me? Don't worry we'll be together very soon."
"29",29,"negative","@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS"
"30",30,"neutral","@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix"
"31",31,"negative","@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
"32",32,"neutral","@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?"
"33",33,"negative","@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
"34",34,"negative","@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
"35",35,"positive","@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews"
"36",36,"neutral","Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP"
"37",37,"positive","@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday"
"38",38,"positive","@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
"39",39,"neutral","@VirginAmerica when can I book my flight to Hawaii??"
"40",40,"negative","@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk"
"41",41,"positive","@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
"42",42,"negative","@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
"43",43,"neutral","@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️"
